Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1986","1986","kg CO2eq/kg product","0.243","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1987","1987","kg CO2eq/kg product","0.2583","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1988","1988","kg CO2eq/kg product","0.2761","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1989","1989","kg CO2eq/kg product","0.2544","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1990","1990","kg CO2eq/kg product","0.2391","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1991","1991","kg CO2eq/kg product","0.2413","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1992","1992","kg CO2eq/kg product","0.2237","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1993","1993","kg CO2eq/kg product","0.2324","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1994","1994","kg CO2eq/kg product","0.2222","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1995","1995","kg CO2eq/kg product","0.2415","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1996","1996","kg CO2eq/kg product","0.2314","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1997","1997","kg CO2eq/kg product","0.2268","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1998","1998","kg CO2eq/kg product","0.2287","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","1999","1999","kg CO2eq/kg product","0.2355","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2000","2000","kg CO2eq/kg product","0.2296","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2001","2001","kg CO2eq/kg product","0.2277","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2002","2002","kg CO2eq/kg product","0.2317","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2003","2003","kg CO2eq/kg product","0.2386","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2004","2004","kg CO2eq/kg product","0.2208","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2005","2005","kg CO2eq/kg product","0.2261","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2006","2006","kg CO2eq/kg product","0.23","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2007","2007","kg CO2eq/kg product","0.229","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2008","2008","kg CO2eq/kg product","0.2141","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2009","2009","kg CO2eq/kg product","0.216","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2010","2010","kg CO2eq/kg product","0.2258","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2011","2011","kg CO2eq/kg product","0.2243","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2012","2012","kg CO2eq/kg product","0.2292","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2013","2013","kg CO2eq/kg product","0.2148","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2014","2014","kg CO2eq/kg product","0.2109","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2015","2015","kg CO2eq/kg product","0.2065","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2016","2016","kg CO2eq/kg product","0.2068","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","1718","Cereals excluding rice","2017","2017","kg CO2eq/kg product","0.204","Fc","Calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1961","1961","tonnes","651140370","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1962","1962","tonnes","695988938","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1963","1963","tonnes","691892866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1964","1964","tonnes","727732462","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1965","1965","tonnes","733703049","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1966","1966","tonnes","806834515","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1967","1967","tonnes","835981325","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1968","1968","tonnes","861006118","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1969","1969","tonnes","864208300","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1970","1970","tonnes","865087793","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1971","1971","tonnes","970228197","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1972","1972","tonnes","939797516","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1973","1973","tonnes","1010355965","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1974","1974","tonnes","982981043","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1975","1975","tonnes","992083903","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1976","1976","tonnes","1105541798","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1977","1977","tonnes","1076759047","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1978","1978","tonnes","1185706596","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1979","1979","tonnes","1151388914","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1980","1980","tonnes","1142417101","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1981","1981","tonnes","1211384738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1982","1982","tonnes","1259172172","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1983","1983","tonnes","1168222566","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1984","1984","tonnes","1310036644","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1985","1985","tonnes","1341982205","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1986","1986","tonnes","1354231736","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1987","1987","tonnes","1297118367","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1988","1988","tonnes","1227343418","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1989","1989","tonnes","1342734642","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1990","1990","tonnes","1417946875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1991","1991","tonnes","1354912799.5462","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1992","1992","tonnes","1429983107.6678","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1993","1993","tonnes","1358298186.3179","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1994","1994","tonnes","1399921895.5902","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1995","1995","tonnes","1334963919.5356","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1996","1996","tonnes","1474005269.8619","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1997","1997","tonnes","1498241452.689","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1998","1998","tonnes","1486533466.4621","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","1999","1999","tonnes","1452200592.2999","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2000","2000","tonnes","1439905347.7151","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2001","2001","tonnes","1482988999.461","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2002","2002","tonnes","1460796380.0415","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2003","2003","tonnes","1465456791.4434","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2004","2004","tonnes","1652856051.8244","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2005","2005","tonnes","1606852312.1313","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2006","2006","tonnes","1592879382.7446","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2007","2007","tonnes","1667131544.9774","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2008","2008","tonnes","1808968349.3886","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2009","2009","tonnes","1779090418.2395","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2010","2010","tonnes","1739848966.4964","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2011","2011","tonnes","1836577655.3363","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2012","2012","tonnes","1799601810.5845","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2013","2013","tonnes","1999408679.6174","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2014","2014","tonnes","2045444808.0087","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2015","2015","tonnes","2082682154.4532","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2016","2016","tonnes","2123429564.4283","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","1718","Cereals excluding rice","2017","2017","tonnes","2179613221.6906","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1961","1961","kg CO2eq/kg product","1.8606","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1962","1962","kg CO2eq/kg product","1.8387","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1963","1963","kg CO2eq/kg product","1.6947","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1964","1964","kg CO2eq/kg product","1.6617","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1965","1965","kg CO2eq/kg product","1.7231","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1966","1966","kg CO2eq/kg product","1.7108","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1967","1967","kg CO2eq/kg product","1.6304","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1968","1968","kg CO2eq/kg product","1.5991","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1969","1969","kg CO2eq/kg product","1.5837","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1970","1970","kg CO2eq/kg product","1.5094","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1971","1971","kg CO2eq/kg product","1.5302","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1972","1972","kg CO2eq/kg product","1.5652","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1973","1973","kg CO2eq/kg product","1.4913","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1974","1974","kg CO2eq/kg product","1.5103","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1975","1975","kg CO2eq/kg product","1.4574","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1976","1976","kg CO2eq/kg product","1.4937","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1977","1977","kg CO2eq/kg product","1.4368","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1978","1978","kg CO2eq/kg product","1.3946","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1979","1979","kg CO2eq/kg product","1.4184","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1980","1980","kg CO2eq/kg product","1.3764","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1981","1981","kg CO2eq/kg product","1.3407","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1982","1982","kg CO2eq/kg product","1.2835","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1983","1983","kg CO2eq/kg product","1.2251","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1984","1984","kg CO2eq/kg product","1.204","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1985","1985","kg CO2eq/kg product","1.193","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1986","1986","kg CO2eq/kg product","1.1971","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1987","1987","kg CO2eq/kg product","1.2066","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1988","1988","kg CO2eq/kg product","1.1859","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1989","1989","kg CO2eq/kg product","1.1438","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1990","1990","kg CO2eq/kg product","1.1269","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1991","1991","kg CO2eq/kg product","1.1232","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1992","1992","kg CO2eq/kg product","1.1064","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1993","1993","kg CO2eq/kg product","1.0895","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1994","1994","kg CO2eq/kg product","1.0847","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1995","1995","kg CO2eq/kg product","1.0996","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1996","1996","kg CO2eq/kg product","1.0791","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1997","1997","kg CO2eq/kg product","1.0612","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1998","1998","kg CO2eq/kg product","1.059","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","1999","1999","kg CO2eq/kg product","1.0425","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2000","2000","kg CO2eq/kg product","1.039","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2001","2001","kg CO2eq/kg product","1.025","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2002","2002","kg CO2eq/kg product","1.0615","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2003","2003","kg CO2eq/kg product","1.0374","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2004","2004","kg CO2eq/kg product","1.0274","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2005","2005","kg CO2eq/kg product","1.0035","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2006","2006","kg CO2eq/kg product","0.9985","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2007","2007","kg CO2eq/kg product","0.9827","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2008","2008","kg CO2eq/kg product","0.9623","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2009","2009","kg CO2eq/kg product","0.9694","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2010","2010","kg CO2eq/kg product","0.9665","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2011","2011","kg CO2eq/kg product","0.94","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2012","2012","kg CO2eq/kg product","0.929","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2013","2013","kg CO2eq/kg product","0.9338","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2014","2014","kg CO2eq/kg product","0.9298","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2015","2015","kg CO2eq/kg product","0.9186","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2016","2016","kg CO2eq/kg product","0.9176","Fc","Calculated data"
"EI","Emissions intensities","5000","World","71761","Emissions intensity","27","Rice, paddy","2017","2017","kg CO2eq/kg product","0.9148","Fc","Calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1961","1961","tonnes","215646633","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1962","1962","tonnes","226456297","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1963","1963","tonnes","247119211","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1964","1964","tonnes","262928956","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1965","1965","tonnes","254059664","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1966","1966","tonnes","261181258","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1967","1967","tonnes","277386363","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1968","1968","tonnes","288624308","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1969","1969","tonnes","295584391","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1970","1970","tonnes","316345703","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1971","1971","tonnes","317712426","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","5510","Production","27","Rice, paddy","1972","1972","tonnes","307289937","A","Aggregate, may include official, semi-official, estimated or calculated data"
