Domain,Area,Element,Item,Year,Unit,Value
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2010","tonnes","3851998"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2011","tonnes","3816309"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2012","tonnes","3976115"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2013","tonnes","4023565"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2014","tonnes","3712319"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2015","tonnes","3760784"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2016","tonnes","3806491"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2017","tonnes","3847489"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2018","tonnes","3699970"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2019","tonnes","3675046"
"Forestry Production and Trade","Africa","Production","Total fibre furnish","2020","tonnes","3530886"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1961","tonnes","272200"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1962","tonnes","364900"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1963","tonnes","522500"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1964","tonnes","618100"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1965","tonnes","653900"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1966","tonnes","669200"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1967","tonnes","715700"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1968","tonnes","735400"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1969","tonnes","717100"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1970","tonnes","742300"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1971","tonnes","777400"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1972","tonnes","842800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1973","tonnes","927800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1974","tonnes","951000"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1975","tonnes","886073"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1976","tonnes","897400"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1977","tonnes","969300"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1978","tonnes","1029300"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1979","tonnes","1162400"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1980","tonnes","1242400"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1981","tonnes","1317400"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1982","tonnes","1354400"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1983","tonnes","1280100"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1984","tonnes","1142700"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1985","tonnes","1267800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1986","tonnes","1290800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1987","tonnes","1331800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1988","tonnes","1368800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1989","tonnes","2081800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1990","tonnes","2080800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1991","tonnes","2074900"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1992","tonnes","2068200"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1993","tonnes","2090300"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1994","tonnes","1716800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1995","tonnes","2113700"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1996","tonnes","2133900"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1997","tonnes","2418400"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1998","tonnes","2421100"
"Forestry Production and Trade","Africa","Production","Pulp for paper","1999","tonnes","2349900"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2000","tonnes","2390200"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2001","tonnes","2347000"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2002","tonnes","2494600"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2003","tonnes","2390800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2004","tonnes","2357700"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2005","tonnes","2343300"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2006","tonnes","2432800"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2007","tonnes","2609500"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2008","tonnes","2658064"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2009","tonnes","2112100"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2010","tonnes","2106100"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2011","tonnes","2072100"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2012","tonnes","2029100"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2013","tonnes","2024369"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2014","tonnes","1745890"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2015","tonnes","1671288"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2016","tonnes","1611804"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2017","tonnes","1614799"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2018","tonnes","1490400"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2019","tonnes","1442476"
"Forestry Production and Trade","Africa","Production","Pulp for paper","2020","tonnes","1298316"
"Forestry Production and Trade","Africa","Production","Wood pulp","1961","tonnes","305600"
"Forestry Production and Trade","Africa","Production","Wood pulp","1962","tonnes","418000"
"Forestry Production and Trade","Africa","Production","Wood pulp","1963","tonnes","589900"
"Forestry Production and Trade","Africa","Production","Wood pulp","1964","tonnes","682900"
"Forestry Production and Trade","Africa","Production","Wood pulp","1965","tonnes","711700"
"Forestry Production and Trade","Africa","Production","Wood pulp","1966","tonnes","725500"
"Forestry Production and Trade","Africa","Production","Wood pulp","1967","tonnes","781500"
"Forestry Production and Trade","Africa","Production","Wood pulp","1968","tonnes","814600"
"Forestry Production and Trade","Africa","Production","Wood pulp","1969","tonnes","812900"
"Forestry Production and Trade","Africa","Production","Wood pulp","1970","tonnes","841500"
"Forestry Production and Trade","Africa","Production","Wood pulp","1971","tonnes","880700"
"Forestry Production and Trade","Africa","Production","Wood pulp","1972","tonnes","944200"
"Forestry Production and Trade","Africa","Production","Wood pulp","1973","tonnes","1027800"
"Forestry Production and Trade","Africa","Production","Wood pulp","1974","tonnes","1153000"
"Forestry Production and Trade","Africa","Production","Wood pulp","1975","tonnes","1183573"
"Forestry Production and Trade","Africa","Production","Wood pulp","1976","tonnes","1112400"
"Forestry Production and Trade","Africa","Production","Wood pulp","1977","tonnes","1188300"
"Forestry Production and Trade","Africa","Production","Wood pulp","1978","tonnes","1277300"
"Forestry Production and Trade","Africa","Production","Wood pulp","1979","tonnes","1358400"
"Forestry Production and Trade","Africa","Production","Wood pulp","1980","tonnes","1432400"
"Forestry Production and Trade","Africa","Production","Wood pulp","1981","tonnes","1512400"
"Forestry Production and Trade","Africa","Production","Wood pulp","1982","tonnes","1537400"
"Forestry Production and Trade","Africa","Production","Wood pulp","1983","tonnes","1451100"
"Forestry Production and Trade","Africa","Production","Wood pulp","1984","tonnes","1355700"
"Forestry Production and Trade","Africa","Production","Wood pulp","1985","tonnes","1626800"
"Forestry Production and Trade","Africa","Production","Wood pulp","1986","tonnes","1647800"
"Forestry Production and Trade","Africa","Production","Wood pulp","1987","tonnes","1688800"
"Forestry Production and Trade","Africa","Production","Wood pulp","1988","tonnes","1717800"
"Forestry Production and Trade","Africa","Production","Wood pulp","1989","tonnes","2244800"
"Forestry Production and Trade","Africa","Production","Wood pulp","1990","tonnes","2255800"
"Forestry Production and Trade","Africa","Production","Wood pulp","1991","tonnes","2289200"
"Forestry Production and Trade","Africa","Production","Wood pulp","1992","tonnes","2380200"
"Forestry Production and Trade","Africa","Production","Wood pulp","1993","tonnes","2425300"
"Forestry Production and Trade","Africa","Production","Wood pulp","1994","tonnes","2038800"
"Forestry Production and Trade","Africa","Production","Wood pulp","1995","tonnes","2404700"
"Forestry Production and Trade","Africa","Production","Wood pulp","1996","tonnes","2424900"
"Forestry Production and Trade","Africa","Production","Wood pulp","1997","tonnes","2779700"
"Forestry Production and Trade","Africa","Production","Wood pulp","1998","tonnes","2750700"
"Forestry Production and Trade","Africa","Production","Wood pulp","1999","tonnes","2669500"
"Forestry Production and Trade","Africa","Production","Wood pulp","2000","tonnes","2793800"
"Forestry Production and Trade","Africa","Production","Wood pulp","2001","tonnes","2562600"
"Forestry Production and Trade","Africa","Production","Wood pulp","2002","tonnes","2712200"
"Forestry Production and Trade","Africa","Production","Wood pulp","2003","tonnes","2719400"
"Forestry Production and Trade","Africa","Production","Wood pulp","2004","tonnes","2621300"
"Forestry Production and Trade","Africa","Production","Wood pulp","2005","tonnes","2616900"
"Forestry Production and Trade","Africa","Production","Wood pulp","2006","tonnes","2778200"
"Forestry Production and Trade","Africa","Production","Wood pulp","2007","tonnes","2950100"
"Forestry Production and Trade","Africa","Production","Wood pulp","2008","tonnes","2971401"
"Forestry Production and Trade","Africa","Production","Wood pulp","2009","tonnes","2555700"
"Forestry Production and Trade","Africa","Production","Wood pulp","2010","tonnes","2654700"
"Forestry Production and Trade","Africa","Production","Wood pulp","2011","tonnes","2647675"
"Forestry Production and Trade","Africa","Production","Wood pulp","2012","tonnes","2617700"
"Forestry Production and Trade","Africa","Production","Wood pulp","2013","tonnes","2629669"
"Forestry Production and Trade","Africa","Production","Wood pulp","2014","tonnes","2529162"
"Forestry Production and Trade","Africa","Production","Wood pulp","2015","tonnes","2510892"
"Forestry Production and Trade","Africa","Production","Wood pulp","2016","tonnes","2412247"
"Forestry Production and Trade","Africa","Production","Wood pulp","2017","tonnes","2440857"
"Forestry Production and Trade","Africa","Production","Wood pulp","2018","tonnes","2329000"
"Forestry Production and Trade","Africa","Production","Wood pulp","2019","tonnes","2410549"
"Forestry Production and Trade","Africa","Production","Wood pulp","2020","tonnes","2184386"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1961","tonnes","347400"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1962","tonnes","402000"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1963","tonnes","481320"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1964","tonnes","500300"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1965","tonnes","593000"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1966","tonnes","660400"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1967","tonnes","718200"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1968","tonnes","805600"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1969","tonnes","848100"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1970","tonnes","897200"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1971","tonnes","925700"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1972","tonnes","1053200"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1973","tonnes","1154400"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1974","tonnes","1203400"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1975","tonnes","1154417"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1976","tonnes","1238700"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1977","tonnes","1360300"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1978","tonnes","1423100"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1979","tonnes","1620100"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1980","tonnes","1753700"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1981","tonnes","1904335"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1982","tonnes","1943012"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1983","tonnes","2119487"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1984","tonnes","2085165"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1985","tonnes","2246847"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1986","tonnes","2412535"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1987","tonnes","2430702"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1988","tonnes","2634828"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1989","tonnes","2810904"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1990","tonnes","2781229"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1991","tonnes","2721721"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1992","tonnes","2668340"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1993","tonnes","2596225"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1994","tonnes","2514895"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1995","tonnes","2681826"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1996","tonnes","2654263"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1997","tonnes","2905180"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1998","tonnes","3042782"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","1999","tonnes","2949504"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2000","tonnes","3508273"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2001","tonnes","3654820"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2002","tonnes","3705273"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2003","tonnes","3764252"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2004","tonnes","4078096"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2005","tonnes","3752037"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2006","tonnes","3906437"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2007","tonnes","4121837"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2008","tonnes","4114737"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2009","tonnes","3399363"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2010","tonnes","3696477"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2011","tonnes","3356477"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2012","tonnes","3601663"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2013","tonnes","3610136"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2014","tonnes","3535422"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2015","tonnes","3551956"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2016","tonnes","3606565"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2017","tonnes","3431551"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2018","tonnes","3062491"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2019","tonnes","3062491"
"Forestry Production and Trade","Africa","Production","Paper and paperboard","2020","tonnes","3062491"
"Forestry Production and Trade","Africa","Production","Graphic papers","1961","tonnes","85000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1962","tonnes","116400"
"Forestry Production and Trade","Africa","Production","Graphic papers","1963","tonnes","133220"
"Forestry Production and Trade","Africa","Production","Graphic papers","1964","tonnes","142100"
"Forestry Production and Trade","Africa","Production","Graphic papers","1965","tonnes","156000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1966","tonnes","190900"
"Forestry Production and Trade","Africa","Production","Graphic papers","1967","tonnes","209900"
"Forestry Production and Trade","Africa","Production","Graphic papers","1968","tonnes","267500"
"Forestry Production and Trade","Africa","Production","Graphic papers","1969","tonnes","305500"
"Forestry Production and Trade","Africa","Production","Graphic papers","1970","tonnes","318700"
"Forestry Production and Trade","Africa","Production","Graphic papers","1971","tonnes","337700"
"Forestry Production and Trade","Africa","Production","Graphic papers","1972","tonnes","366100"
"Forestry Production and Trade","Africa","Production","Graphic papers","1973","tonnes","427900"
"Forestry Production and Trade","Africa","Production","Graphic papers","1974","tonnes","419600"
"Forestry Production and Trade","Africa","Production","Graphic papers","1975","tonnes","396017"
"Forestry Production and Trade","Africa","Production","Graphic papers","1976","tonnes","426000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1977","tonnes","501000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1978","tonnes","518000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1979","tonnes","580000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1980","tonnes","581000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1981","tonnes","669000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1982","tonnes","706200"
"Forestry Production and Trade","Africa","Production","Graphic papers","1983","tonnes","816000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1984","tonnes","752600"
"Forestry Production and Trade","Africa","Production","Graphic papers","1985","tonnes","784400"
"Forestry Production and Trade","Africa","Production","Graphic papers","1986","tonnes","870850"
"Forestry Production and Trade","Africa","Production","Graphic papers","1987","tonnes","846040"
"Forestry Production and Trade","Africa","Production","Graphic papers","1988","tonnes","954240"
"Forestry Production and Trade","Africa","Production","Graphic papers","1989","tonnes","1028340"
"Forestry Production and Trade","Africa","Production","Graphic papers","1990","tonnes","1031250"
"Forestry Production and Trade","Africa","Production","Graphic papers","1991","tonnes","998470"
"Forestry Production and Trade","Africa","Production","Graphic papers","1992","tonnes","919320"
"Forestry Production and Trade","Africa","Production","Graphic papers","1993","tonnes","1020120"
"Forestry Production and Trade","Africa","Production","Graphic papers","1994","tonnes","997220"
"Forestry Production and Trade","Africa","Production","Graphic papers","1995","tonnes","983070"
"Forestry Production and Trade","Africa","Production","Graphic papers","1996","tonnes","975700"
"Forestry Production and Trade","Africa","Production","Graphic papers","1997","tonnes","976700"
"Forestry Production and Trade","Africa","Production","Graphic papers","1998","tonnes","1027000"
"Forestry Production and Trade","Africa","Production","Graphic papers","1999","tonnes","1038730"
"Forestry Production and Trade","Africa","Production","Graphic papers","2000","tonnes","1173760"
"Forestry Production and Trade","Africa","Production","Graphic papers","2001","tonnes","1234760"
"Forestry Production and Trade","Africa","Production","Graphic papers","2002","tonnes","1244760"
"Forestry Production and Trade","Africa","Production","Graphic papers","2003","tonnes","1263732"
"Forestry Production and Trade","Africa","Production","Graphic papers","2004","tonnes","1369392"
"Forestry Production and Trade","Africa","Production","Graphic papers","2005","tonnes","1141592"
"Forestry Production and Trade","Africa","Production","Graphic papers","2006","tonnes","1287292"
"Forestry Production and Trade","Africa","Production","Graphic papers","2007","tonnes","1410692"
"Forestry Production and Trade","Africa","Production","Graphic papers","2008","tonnes","1343592"
"Forestry Production and Trade","Africa","Production","Graphic papers","2009","tonnes","1171132"
"Forestry Production and Trade","Africa","Production","Graphic papers","2010","tonnes","1236132"
"Forestry Production and Trade","Africa","Production","Graphic papers","2011","tonnes","1070132"
"Forestry Production and Trade","Africa","Production","Graphic papers","2012","tonnes","1070386"
"Forestry Production and Trade","Africa","Production","Graphic papers","2013","tonnes","1010825"
"Forestry Production and Trade","Africa","Production","Graphic papers","2014","tonnes","988664"
"Forestry Production and Trade","Africa","Production","Graphic papers","2015","tonnes","909393"
"Forestry Production and Trade","Africa","Production","Graphic papers","2016","tonnes","854721"
"Forestry Production and Trade","Africa","Production","Graphic papers","2017","tonnes","789822"
"Forestry Production and Trade","Africa","Production","Graphic papers","2018","tonnes","741638"
"Forestry Production and Trade","Africa","Production","Graphic papers","2019","tonnes","741638"
"Forestry Production and Trade","Africa","Production","Graphic papers","2020","tonnes","741638"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","1998","tonnes","1689930"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","1999","tonnes","1590920"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2000","tonnes","2006520"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2001","tonnes","2029220"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2002","tonnes","2064820"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2003","tonnes","2065870"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2004","tonnes","2209070"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2005","tonnes","2043770"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2006","tonnes","2037470"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2007","tonnes","2221470"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2008","tonnes","2264470"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2009","tonnes","1749070"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2010","tonnes","2004070"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2011","tonnes","1765070"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2012","tonnes","2003078"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2013","tonnes","2022441"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2014","tonnes","1939081"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2015","tonnes","2056140"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2016","tonnes","2108161"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2017","tonnes","2004698"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2018","tonnes","1874999"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2019","tonnes","1874999"
"Forestry Production and Trade","Africa","Production","Packaging paper and paperboard","2020","tonnes","1874999"
"Forestry Production and Trade","Americas","Production","Roundwood","1961","m3","586220415"
"Forestry Production and Trade","Americas","Production","Roundwood","1962","m3","599313128"
"Forestry Production and Trade","Americas","Production","Roundwood","1963","m3","598456091"
"Forestry Production and Trade","Americas","Production","Roundwood","1964","m3","625119459"
"Forestry Production and Trade","Americas","Production","Roundwood","1965","m3","638520365"
"Forestry Production and Trade","Americas","Production","Roundwood","1966","m3","650989154"
"Forestry Production and Trade","Americas","Production","Roundwood","1967","m3","649257925"
"Forestry Production and Trade","Americas","Production","Roundwood","1968","m3","675881260"
"Forestry Production and Trade","Americas","Production","Roundwood","1969","m3","687172166"
"Forestry Production and Trade","Americas","Production","Roundwood","1970","m3","699432469"
"Forestry Production and Trade","Americas","Production","Roundwood","1971","m3","709288050"
"Forestry Production and Trade","Americas","Production","Roundwood","1972","m3","712309946"
"Forestry Production and Trade","Americas","Production","Roundwood","1973","m3","739231640"
"Forestry Production and Trade","Americas","Production","Roundwood","1974","m3","737475898"
"Forestry Production and Trade","Americas","Production","Roundwood","1975","m3","691138800"
"Forestry Production and Trade","Americas","Production","Roundwood","1976","m3","753305798"
"Forestry Production and Trade","Americas","Production","Roundwood","1977","m3","773963080"
"Forestry Production and Trade","Americas","Production","Roundwood","1978","m3","830866396"
"Forestry Production and Trade","Americas","Production","Roundwood","1979","m3","872411240"
"Forestry Production and Trade","Americas","Production","Roundwood","1980","m3","857531952"
"Forestry Production and Trade","Americas","Production","Roundwood","1981","m3","842831820"
"Forestry Production and Trade","Americas","Production","Roundwood","1982","m3","830601415"
"Forestry Production and Trade","Americas","Production","Roundwood","1983","m3","903829250"
"Forestry Production and Trade","Americas","Production","Roundwood","1984","m3","953065409"
"Forestry Production and Trade","Americas","Production","Roundwood","1985","m3","951562913"
"Forestry Production and Trade","Americas","Production","Roundwood","1986","m3","1003500488"
"Forestry Production and Trade","Americas","Production","Roundwood","1987","m3","1029631831"
"Forestry Production and Trade","Americas","Production","Roundwood","1988","m3","1033414992"
"Forestry Production and Trade","Americas","Production","Roundwood","1989","m3","1043056403"
"Forestry Production and Trade","Americas","Production","Roundwood","1990","m3","1028961896"
"Forestry Production and Trade","Americas","Production","Roundwood","1991","m3","1016617433"
"Forestry Production and Trade","Americas","Production","Roundwood","1992","m3","1028000420"
"Forestry Production and Trade","Americas","Production","Roundwood","1993","m3","1023530967"
"Forestry Production and Trade","Americas","Production","Roundwood","1994","m3","1045316752"
"Forestry Production and Trade","Americas","Production","Roundwood","1995","m3","1056123913"
"Forestry Production and Trade","Americas","Production","Roundwood","1996","m3","1047094210"
"Forestry Production and Trade","Americas","Production","Roundwood","1997","m3","1056922929"
"Forestry Production and Trade","Americas","Production","Roundwood","1998","m3","1052456974"
"Forestry Production and Trade","Americas","Production","Roundwood","1999","m3","1080492691"
"Forestry Production and Trade","Americas","Production","Roundwood","2000","m3","1093721537"
"Forestry Production and Trade","Americas","Production","Roundwood","2001","m3","1047339926"
"Forestry Production and Trade","Americas","Production","Roundwood","2002","m3","1068626050"
"Forestry Production and Trade","Americas","Production","Roundwood","2003","m3","1076655117"
"Forestry Production and Trade","Americas","Production","Roundwood","2004","m3","1116031456"
"Forestry Production and Trade","Americas","Production","Roundwood","2005","m3","1110089176"
"Forestry Production and Trade","Americas","Production","Roundwood","2006","m3","1079628365"
"Forestry Production and Trade","Americas","Production","Roundwood","2007","m3","1041211554"
"Forestry Production and Trade","Americas","Production","Roundwood","2008","m3","969754531"
"Forestry Production and Trade","Americas","Production","Roundwood","2009","m3","894237554"
"Forestry Production and Trade","Americas","Production","Roundwood","2010","m3","972857390"
"Forestry Production and Trade","Americas","Production","Roundwood","2011","m3","1022081236"
"Forestry Production and Trade","Americas","Production","Roundwood","2012","m3","1030002874"
"Forestry Production and Trade","Americas","Production","Roundwood","2013","m3","1042829082"
"Forestry Production and Trade","Americas","Production","Roundwood","2014","m3","1045484142"
"Forestry Production and Trade","Americas","Production","Roundwood","2015","m3","1040702271"
"Forestry Production and Trade","Americas","Production","Roundwood","2016","m3","1098912268"
"Forestry Production and Trade","Americas","Production","Roundwood","2017","m3","1114224358"
"Forestry Production and Trade","Americas","Production","Roundwood","2018","m3","1148729688"
"Forestry Production and Trade","Americas","Production","Roundwood","2019","m3","1110742452"
"Forestry Production and Trade","Americas","Production","Roundwood","2020","m3","1070916232"
"Forestry Production and Trade","Americas","Production","Wood fuel","1961","m3","217250092"
"Forestry Production and Trade","Americas","Production","Wood fuel","1962","m3","209588305"
"Forestry Production and Trade","Americas","Production","Wood fuel","1963","m3","208973476"
"Forestry Production and Trade","Americas","Production","Wood fuel","1964","m3","212259544"
"Forestry Production and Trade","Americas","Production","Wood fuel","1965","m3","211171234"
"Forestry Production and Trade","Americas","Production","Wood fuel","1966","m3","208199931"
"Forestry Production and Trade","Americas","Production","Wood fuel","1967","m3","211468610"
"Forestry Production and Trade","Americas","Production","Wood fuel","1968","m3","215134653"
"Forestry Production and Trade","Americas","Production","Wood fuel","1969","m3","214271135"
"Forestry Production and Trade","Americas","Production","Wood fuel","1970","m3","220647562"
"Forestry Production and Trade","Americas","Production","Wood fuel","1971","m3","222157735"
"Forestry Production and Trade","Americas","Production","Wood fuel","1972","m3","224102415"
"Forestry Production and Trade","Americas","Production","Wood fuel","1973","m3","224631241"
"Forestry Production and Trade","Americas","Production","Wood fuel","1974","m3","229482791"
"Forestry Production and Trade","Americas","Production","Wood fuel","1975","m3","230814493"
"Forestry Production and Trade","Americas","Production","Wood fuel","1976","m3","232614591"
"Forestry Production and Trade","Americas","Production","Wood fuel","1977","m3","242606073"
"Forestry Production and Trade","Americas","Production","Wood fuel","1978","m3","257448597"
"Forestry Production and Trade","Americas","Production","Wood fuel","1979","m3","271557125"
"Forestry Production and Trade","Americas","Production","Wood fuel","1980","m3","283158667"
"Forestry Production and Trade","Americas","Production","Wood fuel","1981","m3","291764164"
"Forestry Production and Trade","Americas","Production","Wood fuel","1982","m3","318902813"
"Forestry Production and Trade","Americas","Production","Wood fuel","1983","m3","319542167"
